Messstelle:                Zwettl (Sportplatzbrücke)
HZB-Nummer:                207936
HD-Nummer:                 no260
DBMS-Nummer:               3001033
Gewässer:                  Zwettl
Sachgebiet:                OWF
Dienststelle:              HD-Niederösterreich
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 269.10
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   07.06.1950              516.00
   01.01.1977              514.41
   31.10.1984              514.00
   05.06.1986              514.66
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   31.10.1984              15 09 41                 48 36 30
Exportzeitreihe:           Abgeleitete Intervallzeitreihe
                           Abfluss,I,Mit,T,1,M,Z,0,,,
Ursprungszeitreihe:        Abfluss,K,,,0,F,Z,0,,, - Hauptreihe
Transformation:            Mittel
Mittelungsintervall:       1 Tag
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            01.01.2012 00:00 bis 01.01.2016 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               3 Nachkommast.
02.06.2012 00:00:00        1.304
03.06.2012 00:00:00        0.799
04.06.2012 00:00:00        1.376
05.06.2012 00:00:00        1.858
06.06.2012 00:00:00        1.126
07.06.2012 00:00:00        0.845
08.06.2012 00:00:00        1.719
09.06.2012 00:00:00        4.300
10.06.2012 00:00:00        3.650
11.06.2012 00:00:00        2.755
12.06.2012 00:00:00        3.915
13.06.2012 00:00:00       21.264
14.06.2012 00:00:00       11.168
15.06.2012 00:00:00        6.393
16.06.2012 00:00:00        4.689
17.06.2012 00:00:00        3.764
18.06.2012 00:00:00        3.224
19.06.2012 00:00:00        2.925
20.06.2012 00:00:00        3.882
21.06.2012 00:00:00        9.463
22.06.2012 00:00:00        4.681
23.06.2012 00:00:00        3.332
24.06.2012 00:00:00        2.953
25.06.2012 00:00:00        2.904
26.06.2012 00:00:00        2.636
27.06.2012 00:00:00        2.347
28.06.2012 00:00:00        2.144
29.06.2012 00:00:00        1.965
30.06.2012 00:00:00        1.828
01.07.2012 00:00:00        1.709
02.07.2012 00:00:00        1.920
03.07.2012 00:00:00        1.625
04.07.2012 00:00:00        2.092
05.07.2012 00:00:00        1.585
06.07.2012 00:00:00        1.378
07.07.2012 00:00:00        1.331
08.07.2012 00:00:00        1.289
09.07.2012 00:00:00        1.455
10.07.2012 00:00:00        1.322
11.07.2012 00:00:00        1.078
12.07.2012 00:00:00        1.026
13.07.2012 00:00:00        1.037
14.07.2012 00:00:00        1.149
15.07.2012 00:00:00        1.035
16.07.2012 00:00:00        0.964
17.07.2012 00:00:00        0.918
18.07.2012 00:00:00        0.849
19.07.2012 00:00:00        0.783
20.07.2012 00:00:00        0.712
21.07.2012 00:00:00        0.865
22.07.2012 00:00:00        1.236
23.07.2012 00:00:00        0.909
24.07.2012 00:00:00        0.764
25.07.2012 00:00:00        0.837
26.07.2012 00:00:00        1.114
27.07.2012 00:00:00        0.818
28.07.2012 00:00:00        1.462
29.07.2012 00:00:00        2.608
30.07.2012 00:00:00        1.373
31.07.2012 00:00:00        1.065
01.08.2012 00:00:00        0.895
02.08.2012 00:00:00        0.890
03.08.2012 00:00:00        1.687
04.08.2012 00:00:00        0.963
05.08.2012 00:00:00        1.592
06.08.2012 00:00:00        1.369
07.08.2012 00:00:00        5.211
08.08.2012 00:00:00        2.052
09.08.2012 00:00:00        1.477
10.08.2012 00:00:00        1.252
11.08.2012 00:00:00        1.126
12.08.2012 00:00:00        1.035
13.08.2012 00:00:00        0.955
14.08.2012 00:00:00        0.854
15.08.2012 00:00:00        0.822
16.08.2012 00:00:00        0.762
17.08.2012 00:00:00        0.726
18.08.2012 00:00:00        0.671
19.08.2012 00:00:00        0.591
20.08.2012 00:00:00        0.587
21.08.2012 00:00:00        0.558
22.08.2012 00:00:00        0.523
23.08.2012 00:00:00        0.523
24.08.2012 00:00:00        0.510
25.08.2012 00:00:00        0.928
26.08.2012 00:00:00        1.551
27.08.2012 00:00:00        1.160
28.08.2012 00:00:00        0.825
29.08.2012 00:00:00        0.688
30.08.2012 00:00:00        0.649
31.08.2012 00:00:00        0.771
01.09.2012 00:00:00        1.381
02.09.2012 00:00:00        1.305
03.09.2012 00:00:00        1.077
04.09.2012 00:00:00        0.916
05.09.2012 00:00:00        0.859
06.09.2012 00:00:00        0.743
07.09.2012 00:00:00        0.699
08.09.2012 00:00:00        0.647
09.09.2012 00:00:00        0.590
10.09.2012 00:00:00        0.573
11.09.2012 00:00:00        0.529
12.09.2012 00:00:00        0.634
13.09.2012 00:00:00        2.621
14.09.2012 00:00:00        2.136
15.09.2012 00:00:00        1.373
16.09.2012 00:00:00        1.123
17.09.2012 00:00:00        0.980
18.09.2012 00:00:00        0.873
19.09.2012 00:00:00        1.282
20.09.2012 00:00:00        1.507
21.09.2012 00:00:00        1.121
22.09.2012 00:00:00        1.007
23.09.2012 00:00:00        0.946
24.09.2012 00:00:00        0.869
25.09.2012 00:00:00        0.822
26.09.2012 00:00:00        0.759
27.09.2012 00:00:00        0.724
28.09.2012 00:00:00        0.703
29.09.2012 00:00:00        0.703
30.09.2012 00:00:00        0.759
01.10.2012 00:00:00        0.737
